Q2,Q3_1,Q3Bin,Q4,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_5_TEXT,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_5_TEXT,Q7,Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_6_TEXT,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_6_TEXT,Q12,Q13,Q14,Q16,Q16_5_TEXT,Q17,Q18,Q19
1,75,4,3,1,1,1,1,,,,1,1,,,,,,2,2,,,,,,,,,1,,1,,,,3,3,2,1,,3,1,3
1,80,5,4,1,1,1,1,1,,bixby,1,,1,1,1,,bixby,4,2,,,,,,,,1,1,1,1,1,,,3,4,5,1,,4,1,6
1,85,5,2,1,1,,1,,,,1,,,,,,,2,3,,,1,1,1,,,,,,,,,,4,2,4,2,,4,1,7
1,85,5,1,1,1,1,1,,,,1,,1,1,,,,3,2,,,,,,,,,1,1,1,,,,2,5,2,1,,3,1,5
1,29,2,4,1,,,1,,,,1,,,1,,,,5,3,1,,1,1,1,,,,,,,,,,2,2,2,1,,4,1,6
1,70,4,2,1,1,,1,,,,1,,,1,,,,3,1,,,,,,,,1,1,1,1,1,,,2,4,2,1,,4,1,6
1,30,2,2,1,,,1,,,,,,,,,1,,1,3,1,,1,1,1,,,,,,,,,,4,2,4,2,,3,1,6
1,71,4,2,1,1,,,,,,,1,,,,,,1,2,,,,,,,,,1,1,1,,,,3,4,5,1,,4,1,4
1,65,4,3,1,1,,1,,,,,,,1,,,,2,3,,,1,1,1,,,,,,,,,,4,2,5,2,,5,1,7
1,86,5,3,1,1,1,1,,,,,,,1,,,,5,1,,,,,,,,1,,,,,,,3,3,2,1,,3,1,7
1,80,5,4,1,1,,1,,,,1,,,1,,,,5,2,,,,,,,,,1,1,1,,,,2,5,4,2,,3,1,7
1,50,3,2,1,1,,1,,,,1,,,1,,,,5,2,,,,,,,,1,,,1,,,,3,4,2,2,,5,1,6
1,70,4,2,1,1,1,1,,,,,,1,1,,,,3,1,,,,,,,,1,1,1,1,1,,,2,5,2,2,,3,1,6
1,80,5,3,1,1,1,1,,,,1,,,1,,,,4,3,,,1,,,,,,,,,,,,2,2,5,2,,3,1,4
1,20,2,2,1,1,1,1,,,,1,1,,,,,,5,3,1,,,,,,,,,,,,,,3,4,3,1,,3,1,5
1,73,4,2,,1,,,,,,,1,,,,,,4,2,,,,,,,,1,1,,,,,,2,4,3,2,,3,1,5
1,20,2,2,1,1,,1,,,,1,,,1,,,,4,3,,1,,,,,,,,,,,,,4,2,2,2,,3,1,5
1,80,5,3,1,1,,1,,,,1,,,1,,,,4,2,,,,,,,,1,1,,1,,,,3,4,2,2,,6,1,7
1,50,3,1,1,1,,1,,,,,,,,,1,,1,3,,,1,1,1,,,,,,,,,,1,5,5,2,,3,1,5
1,70,4,2,1,1,1,1,,,,1,,,1,,,,3,2,,,,,,,,,1,,,,,,4,4,4,1,,3,3,1
1,62,4,2,1,,1,1,,,,,,,1,,,,2,2,,,,,,,,,,1,,,,,4,4,4,2,,3,1,3
1,86,5,2,1,1,1,1,,,,1,1,1,1,,,,2,1,,,,,,,,1,,1,1,,,,2,4,4,2,,3,1,4
1,70,4,2,1,1,,1,1,,Watson,,,,1,,,,1,3,,,1,1,1,,,,,,,,,,4,1,5,2,,5,1,9
1,22,2,1,1,,1,1,,,,,,1,,,,,1,3,,,,,1,,,,,,,,,,5,4,4,2,,5,1,4
1,100,5,3,1,1,1,1,,,,1,,,,,,,1,2,,,,,,,,1,,1,1,,,,2,5,5,2,,3,1,3
1,48,3,3,1,1,1,1,,,,,,,,,1,,1,3,1,,1,,,,,,,,,,,,3,2,3,2,,3,1,4
1,42,3,3,1,,,,,,,1,,,,,,,4,2,,,,,,,,,,,1,,,,3,3,3,2,,4,1,4
1,75,4,1,1,1,,1,,,,,,,1,,,,1,3,,,1,1,1,,,,,,,,,,4,3,5,2,,5,1,6
1,90,5,5,1,1,1,1,1,,Allison - x.ai,1,,1,1,,,,5,1,,,,,,,,,1,1,1,1,,,4,5,4,1,,3,1,4
1,90,5,4,1,1,1,1,,,,1,,,1,,,,5,1,,,,,,,,,1,1,1,1,,,2,3,2,2,,3,1,4
1,60,4,2,1,1,1,1,,,,,,,1,,,,1,3,1,,1,,,1,I can just as easily log into the banking app or call the number on the back of my credit card.,,,,,,,,4,2,4,2,,3,1,4
1,65,4,4,1,1,,1,,,,1,,,1,,,,4,2,,,,,,,,1,1,1,1,,,,3,4,3,2,,5,1,6
1,96,5,2,1,1,1,1,,,,,,,1,,,,5,3,,,1,,,,,,,,,,,,5,2,5,2,,4,1,6
1,96,5,4,1,1,1,1,1,,Echo,,1,1,,,,,5,3,,,,1,1,1," I don't want my money to be stolen!! Maybe after a number of years where the technology is safe and I am kind of ""forced"" to change, I'd consider it tho",,,,,,,,5,2,5,2,,3,1,5
1,30,2,4,1,1,1,1,,,,,,,,,1,,1,3,1,,1,1,1,,,,,,,,,,4,2,3,2,,3,4,4
1,60,4,4,1,,,1,,,,,,,,1,,Google voice,4,3,1,,,,,,,,,,,,,,4,3,3,2,,7,6,8
1,80,5,4,1,1,1,1,1,,Samsung Bixby,1,1,1,1,1,,Bixby,5,2,,,,,,,,1,,1,1,,,,2,2,4,1,,3,1,6
1,94,5,5,1,1,1,1,,,,1,,,,,,,4,1,,,,,,,,1,1,1,1,1,,,3,2,2,1,,4,1,6
1,50,3,3,1,1,1,1,,,,,,1,,,,,2,3,1,,1,,1,1,Cortona never gets it right ,,,,,,,,4,2,4,2,,3,1,8
1,85,5,4,1,1,1,1,1,,bixby,1,1,1,1,,,,5,3,,,1,1,1,,,,,,,,,,3,4,4,1,,4,1,7
1,66,4,1,1,1,,1,,,,,,,,,1,,1,2,,,,,,,,,,,1,,,,4,4,3,2,,4,1,7
1,86,5,2,1,1,,1,,,,1,,,1,,,,5,3,,,1,,1,,,,,,,,,,5,2,5,2,,3,4,2
1,49,3,3,1,1,1,1,,,,,1,,,,,,5,3,,1,1,,1,,,,,,,,,,4,2,4,2,,3,1,3
1,100,5,2,1,1,,1,,,,1,,,,,,,3,2,,,,,,,,1,1,1,1,,,,4,4,4,2,,9,8,9
1,86,5,2,1,1,,1,,,,,,,1,,,,2,2,,,,,,,,,1,1,1,,,,2,4,4,2,,3,1,4
1,70,4,3,1,1,1,1,,,,1,,,1,,,,2,2,,,,,,,,1,1,1,1,1,,,3,2,4,1,,4,1,9
1,70,4,3,1,1,1,1,,,,,,1,1,,,,2,3,,,,1,,,,,,,,,,,3,3,5,2,,4,1,5
1,75,4,4,1,1,1,1,,,,1,1,1,,,,,5,3,1,,,1,,,,,,,,,,,3,4,3,1,,4,1,5
1,29,2,3,1,,,1,,,,,,,,,1,,1,3,1,,,,,,,,,,,,,,4,3,3,1,,3,1,4
1,30,2,1,1,1,,1,,,,,,,,,1,,1,3,,,1,1,1,,,,,,,,,,5,4,5,2,,6,1,5
1,45,3,2,1,1,1,1,,,,,,,,,1,,2,2,,,,,,,,1,,,,,,,4,3,5,1,,6,1,5
1,90,5,4,1,1,1,1,,,,,1,,,,,,5,3,1,,,,,,,,,,,,,,2,2,2,1,,4,1,9
1,80,5,2,,1,1,1,,,,,1,,,,,,2,2,,,,,,,,,,1,,,,,2,2,4,2,,6,1,6
1,80,5,4,1,1,,1,,,,,,,,,1,,1,2,,,,,,,,,1,,,,,,2,3,2,2,,6,1,8
